Country,RegionDetail,Altitude,Year,ProcessingMethod,BeanColor,BagsProduced,Rating
Mexico,santa catarina juquila,1300,2012,Washed / Wet,Green,10,82.33
Colombia,huila,1800,2012,Washed / Wet,Blue-Green,250,82.67
Mexico,tlatlauquitepec,800,2012,Washed / Wet,Green,10,71.08
Uganda,eastern,1700,2013,Natural / Dry,Green,320,81
Colombia,huila,1775,2013,Washed / Wet,Green,120,83
Colombia,huila,1750,2012,Washed / Wet,Green,250,84.17
Mexico,veracruz,100,2012,Washed / Wet,Green,100,80.83
Mexico,xalapa,1170,2012,Washed / Wet,Green,10,82.42
Mexico,veracruz,1100,2012,Washed / Wet,Green,250,82.25
Mexico,"la concordia, chiapas",1300,2013,Washed / Wet,Green,250,78.92
Mexico,"la concordia, chiapas",1300,2013,Washed / Wet,Green,250,82.33
Mexico,"siltepec el triunfo, chiapas, mexico",1550,2014,Washed / Wet,Green,280,81.83
Brazil,grama valley,1100,2012,Natural / Dry,Green,31,85
Mexico,veracruz,1100,2017,Washed / Wet,Green,240,80.92
Nicaragua,matagalpa,1050,2013,Washed / Wet,Green,275,80.92
Guatemala,oriente,1310,2013,Washed / Wet,Green,250,77.83
Uganda,kasese,1700,2012,Washed / Wet,Green,320,84
Colombia,huila,1775,2015,Washed / Wet,Green,180,83.5
Nicaragua,"dipilto, nueva segovia",1200,2016,Washed / Wet,Green,275,81.17
Brazil,alta paulista (sao paulo),695,2016,Natural / Dry,Green,500,81.08
Colombia,santander,1500,2016,Washed / Wet,Blue-Green,250,84.58
Brazil,south of minas,1200,2011,Natural / Dry,Green,4,84.92
Colombia,la plata,1775,2011,Washed / Wet,Blue-Green,121,83
Mexico,"motozintla, chiapas",1200,2012,Washed / Wet,Green,10,77.17
Guatemala,atitlan,1400,2013,Washed / Wet,Green,250,83.5
Guatemala,huehuetenango,1676,2015,Washed / Wet,Green,275,82.33
Guatemala,el progreso,157,2017,Washed / Wet,Green,20,82.42
Colombia,cauca,1700,2013,Washed / Wet,Green,270,84
"Tanzania, United Republic Of",karatu arusha,1600,2014,Washed / Wet,Green,37,82.5
Guatemala,oriente,1310,2013,Washed / Wet,Green,250,78.75
Uganda,"kasese, mt. rwenzori",1473,2015,Washed / Wet,Green,310,83
Guatemala,oriente,1219,2014,Washed / Wet,Green,250,84.58
Costa Rica,tarrazu,1150,2015,Washed / Wet,Blue-Green,15,84.67
Mexico,"coatepec, coatepec",1100,2012,Washed / Wet,Blue-Green,127,79.5
Mexico,veracruz,1800,2012,Washed / Wet,Green,25,71
Uganda,eastern,1650,2013,Natural / Dry,Green,1,85.92
Mexico,la cumbre,1400,2012,Washed / Wet,Green,100,82.92
